jobOrResumeDescription,role
"
Data Analyst
 AAA Texas Company  Costa Mesa, CA, US

 Posted 3 weeks ago



    0 applicants
    Entry level

Company

    5,001-10,000 employees
    Insurance

Connections
You have 0 connections at this company.
Add >


Team. Integrity. Dedication. Together, we make a difference. If you are career-minded, service-driven professional looking to join a fast paced organization then you have come to the right place. AAA is a member service organization affiliated with the national AAA net. With offices across the U.S., we?re united by common mission and common values of excellent member service. With more than 14,000 employees in 21 states, we provide legendary service to 16 million loyal members. With a constantly growing membership, we are always welcoming dedicated professionals looking to challenge themselves and build a career within our dynamic organization. You will find that being part of a very successful team is extremely rewarding.

This  administers the force Management and eResource systems; Develops and builds schedules for Call Center staff based on forecast volume and AHT; Implements and manages achievement of stgic business plan; In addition, the  develops staffing deviation reports, volume reports, AHT reports, absenteeism reports and VTO reports, analyzing trends, making recommendations regarding staffing levels, schedules, productivity and costs. The  ensures agent s are accu and upd real-time, ensures known time off for meetings, vacations, holidays, etc. is pre-planned and replacement staffing is in place to meet Service Level goal. Additionally, the  processes schedule changes and quarterly vacation selections. The  is also responsible for making minute-by-minute decisions based on daily trending analysis to ensure resources are available to handle real time traffic loads while communicating with Operations Management and the Real Time Adherence agent in each Call Center regarding additional hour?s needs, VTO and the adjusting of agents? offline activities.



    Advanced Excel  (incl. VBA, macros, complex calculations, etc.)
    SQL and Tableau , with data mining knowledge
    Proficiency using Microsoft Office software, including Outlook, Word, PowerPoint, Excel and Access
    Experience with Genesys/Genesys WFM
    Demonstd knowledge of call center performance metrics (Average Handle Time, Average Hold Time, etc.)
    3+ years of progressive experience with analysis, identifying trends, business operations, or analytics
    Strong understanding of statistical methods, advance data analysis and validation
    Proven ability to produce recommendations and proposals and oversee  as directed
    Strong organizational and time management  with the ability to multi-task and meet project deadlines set by management
    Bachelor?s degree or equivalent combination of education and  experience
    Professional written, oral communication  and business relationship management 
    Benefits:
    Health Coverage for Medical, Dental, Vision
    Paid time of including Vacation, Illness and Holidays
    Life Insurance
    Disability Coverage
    Pension
    401K Savings Plan
    Employee Discounts
    Career opportunities across multiple business lines and states ?Through dedicated employees we proudly deliver legendary service and beneficial products that provide members peace of mind and value.? AAA is an 

Seniority Level

Entry level
Industry

    Information  & Services Insurance Financial Services 

Employment Type

Full-time
 Functions

    Information  
",Data Analyst
"Associate, Data & Analytics Modeler, Machine Learning
KPMG6,154 re - Irvine, CA 92618


Innovate. Collabo. Shine. Digital Lighthouse houses KPMG's specialized capabilities across the digital landscape: applied data science, AI, data engineering and insights, software engineering, automation, and big data. Here, you'll  with a sophisticated team of professionals to explore solutions for clients in a multiplatform environment. This means your ability to find answers is limited only by your creativity in leveraging a vast array of techniques and . Be a part of a high-energy, unique, fast-paced, and innovative culture that delivers with the agility of a tech startup and the backing of a leading global consulting firm. In this particular , you'll  specifically in the AI Analytics & Engineering Community within the Digital Lighthouse, on a wide range of . From applied AI to optimization to big data platform engineering, your analytical and  will drive real impact in the business world. So, bring your ingenuity and pioneering spirit to KPMG Digital Lighthouse.

KPMG is   an Associate to join our KPMG Lighthouse - Center of Excellence for Advanced Analytics.

:

     in multi-disciplinary and cross-functional teams to translate business s into artificial intelligence approaches and s; Strong aptitude for quickly learning business operational, process, delivery, and revenue models
     in a fast-paced and dynamic environment with both virtual and face-to-face interactions; utilize structured approaches to solving problems, managing risks, and documenting assumptions; Communicate results and educate others through insightful visualizations, reports, and presentations
    Assess, capture, and translate issues and  into structured analytics use case, including rapid learning of industry/domain/client dynamics and development of effective  stream plans
    Build ingestion processes to prepare, extract, and enrich a variety of structured and unstructured data sources such as social media, news, internal/external documents, images, video, voice, emails, financial data, and operational data
    Utilize a hypothesis-driven problem-solving approach to design, construct, and rapidly test/ite exploratory models that will reveal insight and opportunities for the client while proactively broadening and deepening client relationships
    Deliver on engagement milestones by following analytics processes to mitigate risks in data, modeling, validation, and delivery; Manage assumptions, and risks, and  with others to clear issues

:

    Minimum of one year of experience in the design and building of machine learning pipelines, including data extraction, feature engineering from structured and unstructured data; Experience with the entire software development lifecycle, knowledge of software development methodologies, frames, , and technical architecture
    Bachelor's or Master's degree in an applied quantitative discipline (Data Science, Analytics, Computer Science, Engineering, or Mathematics) from an accredited college or university with experience involving modeling (regression, machine learning, feature selection, dimension reduction, validation), data (extracting, preparing, munging, validating), and building analytics pipelines
    Ability to  artificial intelligence techniques to achieve concrete business goals; ability to  with the business to understand available resources and constraints around data (sources, integrity, and definitions), processing platforms, and security; provide assistance, and resolve problems, using solid problem-solving , verbal/written communication, and data visualizations
    Broad, versatile knowledge of analytics and data science landscape, combined with strong business consulting acumen, enabling the identification, design and deployment of optimal machine learning solutions
    Proficiency with sophisticated analytics  and programming languages (SAS, R, Python, Java, Spark, Hadoop, Alteryx, SQL); Proficiency with data visualization  such as Tableau and QlikView
    Ability to travel up to eighty percent of the time; Applicants must be  authorized to  in the United States without the need for visa sponsorship now or in the future

KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an affirmative action-. KPMG complies with all applicable federal, state and local laws regarding recruitment and . All qualified applicants are considered for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. The attached link contains further information regarding the firm's compliance with federal, state and local recruitment and  laws. No phone calls or agencies please.
6 

	",Data Scientist
"Data Analyst (SAS, statistics, SQL, Healthcare)
Kinetic Personnel Group Inc.11 re - Ontario, CA
Full-time, Contract
 Now


Kinetic Personnel Group is  recruiting for multiple Data Analyst s for a Public Health Agency (government entity) in the Ontario, California area. The salary range is $65,000 to $85,000/year, with a yearly bonus and excellent benefits and CalPERS retirement pension program,  compensation year one with salary and benefits is $85,000 - $115,000/year. This company is renowned for its  in the community and being a great place to !

Purpose

The Data Analyst is responsible for providing technical, analytical and reporting support for the company's Clinical and Provider departments, programs and quality activities. The Data Analyst must have strong understanding of research methods and statistical concepts to design reliable studies/analyses, and payment algorithms. In addition to technical statistical concepts, the Data Analyst must understand relational database concepts, table design and structure, joins, data normalization, and data types..

Duties:

    Develops and prepares reports to support company's clinical and provider units utilizing available analytics and data mining , including but not limited to: SAS, SQL, SSRS system-specific reporting  or other related reporting software.
    Exercises timely and accu data mining techniques and develops new or modifies existing reports that ensure consistent conclusions to data analysis.
    Use analytical  to determine solutions and resolve problems.
    Responsible for evaluating report requests to determine requestor?s needs and s, identifying correct methodology for extracting data including data sources and criteria, and ensuring the delivered report is accu, timely, and formatted appropriately.
    Responsible for understanding the various data sources available within the company for reporting and analysis, as well as a clear understanding of business operations to be able to appropriately guide the development of quality program activities, including analysis and reporting.
    Significant participation in analysis, interpretation, and translating of complex health plan data, issues, trends, and relationships into effective stgies and action plans.
    Responsible for managing assigned  and effectively communicating with the leadership team any project deadlines that may be in jeopardy of being met, well in advance of the due .
    Document all analysis / reporting  following established protocols, ensuring replication of results by an independent reviewer.

:

    Bachelor's degree ; Master's .
    Data analysis, data presentation, spread sheet and database capabilities.
    ing knowledge of data analysis, study methodology, and preparing professional documents. Basic understanding of statistical methods.
    SAS or other statistical applications
    Extensive knowledge TSQL/SQL development
    SSRS experience 
    Proficiency in Microsoft Excel, Word.

 Types: Full-time, Contract

Salary: $65,000.00 to $85,000.00 /hour

Experience:

    Statistical Analysis: 3 years ()
    SQL: 1 year ()

Education:

    Bachelor's ()

 :

    United States ()

Contract Length:

    5 - 6 months

Contract Renewal:

    Likely

Full Time Opportunity:

    Yes

 :

    One 

Benefits:

    Health insurance
    Dental insurance
    Vision insurance

7 
If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.

	",Data Analyst
"Senior IT Business Analyst
VeriCour - Irvine, CA
 Now

Senior IT Business Analyst

Excellent opportunity to join a dedicated, laid back team in a growing organization.

The IT Business Analyst will be responsible for defining technical and business  in order to guide the development teams through the software development lifecycle including the creation of SDLC artifacts, specifications and deliverables.

:

    Partner with business owners and impacted teams to understand, identify, analyze and document .
    Elicit business  through existing documentation and user inter.
    Use a variety of techniques to determine functional and non-functional business  to support a broader understanding of business process and system needs.
    Collabo with developers and functional teams to understand related system and data integration stgies, prioritize and accommo  and support development process to ensure that project deliverables are met according to specifications.

ú Develop and maintain a repository of technical documents and publications that support systems including disaster recovery plans.

ú Provide training to users and stakeholders as necessary.

:

ú Bachelor?s degree in Business, IT or related field.

ú 5+ years? experience in a Business Analyst or related field.

    Extensive knowledge of data analysis and data profiling.

ú Experience identifying and documenting business  at multiple levels across complex  impacting several systems and functional areas.

ú Solid understanding of SQL, OLTP and OLAP architectures as well as database programming using SQL server.

ú Background in IT processes and SDLC.

ú Ability to  independently with minimal guidance in a fast paced, team environment.

Excellent company benefits including medical, dental, vision.

.

 Type: Full-time

Experience:

    SDLC: 3 years ()
    Mortgage/Finance/Banking industry: 1 year ()
    IT Business Analyst: 5 years ()
    SQL: 3 years ()

Education:

    Bachelor's ()

:

    Irvine, CA ()

 :

    United States ()

30+ 
If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.

	",Data Analyst
"Sr. Sales and Operations Planning Analyst
Niagara Bottling483 re - Diamond Bar, CA 91765


At Niagara, we?re looking for Team Members who want to be part of achieving our mission to provide our customers the highest quality most affordable bottled water.

Consider ing here, if you want to:

     in an entrepreneurial and dynamic environment with a chance to make an impact.
    Develop lasting relationships with great people.
    Have the opportunity to build a satisfying career.

We offer competitive compensation and benefits packages for our Team Members.

Sr. Sales and Operations Planning Analyst

The Sr. Supply Chain Planning Analyst - S&OP is a specialist who drives innovation and operational excellence by aligning the planning, operations, and sales teams within Niagara. He/she s across the full breadth and scale of Niagara?s supply chain, products, manufacturing and  to help create solutions that solve business and customer?s supply chain s. This  helps provide recommendations on capex planning and inventory and production stgy.

Essential Functions

    Stgic Planning (assist with the following by providing solutions to support):
        Master Planning
            Develop, drive, and implement aggregate master schedules that optimize product availability, batch stgy, and inventory policy
        Stgic Capacity planning
            Growth/expansion capacity planning (domestic + international)
            Net Planning
            Executing annual capacity expansion planning calendar
        Tactical Service Planning
            Review customer demand including promotional activities, planned manufacturing downtimes &  and develop net supply plan that meets customer forecast at targeted service levels
            Collabo with planning, sales, logistics and manufacturing to successfully execute the designed supply plan
            Lead and drive periodic Tactical S&OP Meetings across departments to align on goals and ensure operational execution
    Internal Project Management
         with various departments at Niagara to discuss customer supply chain challenges and create a project plan to recommend a solution
        Get all internal departments on board to execute the proposed solution
        Manage and monitor progress of the project to ensure successfully execution
    Technical ? Good with systems, and a strong database et (Access/SQL) and Excel background is . Understanding  and IT limitations is critical in managing improvement .
        Ability to learn existing IT  at Niagara quickly
        Good knowledge of leveraging technical information for data collection
        Basic understanding of supply chain optimization including Net flow optimization, Inventory Optimization and Facility Planning
        Demand & Supply Planning 
            Setup, customization & solution validation of various modules
            Continuous improvement and automation to meet business rules/needs
             with Solution Architect to setup data integrity policies & procedures
    Inter-Departmental Collaboration
        Transportation and Logistics supplier bid event support
        Net design & stgic inventory build design
    Special 
        Long term capacity planning and capex recommendations
            Review new plants/new lines  for subsequent years and run model/scenarios for comparative analysis
    Travels approximately 10%
    Please note this   is not designed to contain a comprehensive list of activities, duties or  that are  of the employee for this . Duties,  and activities may change at any time with or without prior notice.



    Minimum :
        4 years ? Experience in Planning, MRP, Procurement, Logistics, Finance or similar function

*experience may include a combination of  experience and education

     :
        6 years ? Experience in Planning, MRP, Procurement, Logistics, Finance or similar function

    experience may include a combination of  experience and education

    Travels approximately 10%

Competencies

    Resourceful in defining systems stgy, developing systems , designing and prototyping, testing, training, defining.
    Experience with Supply chain planning  like JDA, Logility, Oracle ASCP, etc
    Experience with Supply chain optimization  such as LogicNetPlus, Supply Chain Guru, IPFA, etc.
    Ability to Multi-task and Prioritize
    Strong analytical .
    Excellent Communication . Able to effectively communicate complex technical subjects.
    Access/SQL database 
    Ability to solve practical problems and deal with a variety of concrete variables in situations where limited standardization exists.
    Strong verbal, interpersonal and organizational .
    Ability to prioritize  and meet deadlines
    Must be able to  well under pressure in a very fast paced environment.

This  also embodies the values of Niagara?s LIFE competency model, focusing on the following key drivers of success:

    Lead Like an Owner
        Makes safety the number one priority
        Keeps alert for safety issues and escalates immediately
        Effectively prioritizes tasks based on department goals
        Shows respect to others and confronts interpersonal issues directly
        Prioritizes resolution of customer issues effectively
        Responds promptly and honors commitments to internal and external customers
    InnovACT
        Makes recommendations to continuously improve policies, methods, procedures, and/or products
        Demonsts adaptability by reacting appropriately to unexpected changes in situations or circumstances
        Increases performance through greater efficiency
    Find a Way
        Seeks to develop technical knowledge through learning from other experts
        Understands interdepartmental impact of individual decisions and actions
        Seeks solutions rather than placing blame
    Empowered to be Great
        Consistently looks for ways to improve one?s self through growth and development opportunities
        Communicates clearly and promptly up, down, and across
        Communicates effectively to manage expectation

Education

    Minimum :
        Bachelor's Degree in Economics, Engineering, Mathematics, Supply Chain or other science / math related field, or equivalent  experience

    :
        Master's Degree in Economics, Engineering, Mathematics, Supply Chain or other science / math related field, or equivalent  experience

Certification/License:

    : None 
    : APICS ? CSCP, CPIM, CSCMP - SCPro

Foreign Language

    : None 
    : None

Any employment agency, person or entity that submits a rsum into this career site or to a  manager does so with the understanding that the applicant's rsum will become the property of Niagara Bottling, LLC. Niagara Bottling, LLC will have the right to hire that applicant at its discretion without any fee owed to the submitting employment agency, person or entity.

Employment agencies that have fee agreements with Niagara Bottling, LLC and have been engaged on a search shall submit rsum to the designated Niagara Bottling, LLC recruiter or, upon , submit rsum into this career site to be eligible for placement fees.
30+ 

	",Data Analyst
"Business Analyst
CBD College7 re - United States
 Now
ly 

CBD College is looking for a Business Analyst/Tableau Developer. Rather than develop reports which only tell what happened, we seek to create stories with client data. Our ideal candi not only understands the technical side of Tableau, but is passionate about the field of analytics where they can use their creativity to push past line graphs, bar charts, and tables.

Tableau Developers interact with our business users, to uncover the ?Why? for the analysis. They will know how to manage small  and mentor Tableau users. From a Tableau perspective, the individual should have in-depth knowledge and experience with ing with large data sets and how to design high performing dashboards.

Main Duties/Functions

    Partner with business stakeholders to define their business intelligence needs and develop solutions for delivering against them

    Design, build, maintain, and optimize data visualizations and other self-service  to provide actionable insights that enhance business decision making

    Set up  and processes for effective data management.

    Shape best practices in visualization to deliver an excellent end-user experience

    Leverage the full range of Tableau platform  to design and implement production-ready solutions and create advanced BI visualizations.

    Develop and provides documentation, training, and support for clients.

    Champion utilization of business intelligence  across functional s throughout the organization

    Manage a portfolio of business intelligence  to ensure delivery

    Perform data analysis and identify business trends that can be turned into actionable insights

/:

    3+ years of business intelligence experience.

    3+ years ing with Tableau Software; up to  on the latest version and product capabilities, familiar with Tableau's JavaScript API.

    3+ years of experience creating custom SQL queries, familiarity with PostgreSQL a plus

    Experience with varied data sources, including Salesforce, Moodle, and Excel.

    A strong spirit of innovation, self-starter, independent, and with the ability to come up with solutions to meet business problems

    Strong desire to learn new things and pass knowledge acquired onto others

    Experience in implementation of end-to-end BI life-cycle  including dimensional modeling, ETL/integration processes, and metadata modeling

    Must have experience in Agile reports delivery methodology

    Keen attention to detail with deep quantitative and analytical  and demonstd capacity to solve problems and enhance reporting

    Strong relationship  and ability to build alignment among key stakeholders with demonstd experience influencing without authority

    Self-starter with ability to solve ambiguous/ open-ended business challenges

    Ability to  effectively in a fast-paced, deadline-driven, highly dynamic atmosphere and react quickly to changes and shifting priorities.

    Data interfaces such as Web Services, REST API and XML

To , please send a resume to onlinecareers AT cbd.edu. We will not accept resumes from other avenues.

 Type: Full-time

Experience:

    Tableau: 3 years ()
    Business Intelligence: 3 years ()

 :

    Fully Remote

Benefits:

    Dental insurance
    Health insurance
    Vision insurance
    Retirement plan

Company's website:

    www.cbd.edu

30+ 
If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.

	",Data Analyst
"Financial Analyst, Capital Markets
Ecom Mortgage, Inc. - Covina, CA 91724
$60,000 - $80,000 a year
 Now

 Purpose:

Reports financial status by preparing and analyzing financial plans, forecasts, and reports.

Duties:

    Perform advanced financial modeling and ad hoc analysis reporting
    Research and discuss hedging stgy with management and secondary marketing department
    Monitor and track key performance metrics against the company's stgic initiatives
    Analyze financial data and trends on companies in the mortgage banking industries
    Develop and present mortgage product offerings to achieve company's target conversion 
    Participate in civic activities to promote growth and development of the community and a positive company image
    Gather and analyze data on real estate markets including comparable lease and sale transactions
    Assist with due diligence processes, including analysis of pertinent real estate market, demographic, and economic data

/:

    Master's Degree in finance, accounting, or other related fields
    Minimum 1 year mortgage banking or industry-related experience in reporting, financial analysis, and accounting
    ing knowledge of AMB system
    Excellent communication , verbal and written
    Demonst excellent analytical  and attention to detail

 Type: Full-time

Salary: $60,000.00 to $80,000.00 /year

Experience:

    Secondary Marketing: 2 years ()
    Financial Reporting: 2 years ()
    Financial Modeling: 2 years ()
    Financial Analysis: 2 years ()

Education:

    Master's ()

:

    Covina, CA 91724 ()

 :

    United States ()

30+ 
If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.

	",Data Analyst
"Health Data Analyst IV
Kaiser Permanente10,192 re - Corona, CA 92879


    Provide quantitative measurement and data
    analysis expertise for the Utility for Care Data Analysis. Responsible for implementing
    established, as well as developing and ing innovative techniques for
    measuring, analyzing, and reporting on healthcare processes, health outcomes,
    and health costs.

    Essential Functions:

        Independently determines and implements appropriate measurement and
    analytical methods to achieve specified analytical project or tasks s.

        Exercises independent professional judgment regarding analysis assumptions
    and data quality. Identifies and resolves data quality issues, as .

        Coordinates the  of other project team members (UCDA staff, regional
    analytic staff, and contractors) to accomplish specified analytical project or
    task s.

        Determines the most informative approaches to summarizing data and
    communicating analytical results. Develops, as , innovative or
    customized templates and formats.

        Implements specified quality assurance procedures to ensure accuracy of
    project data, results, written reports, and presentation materials.

        Designs and creates written reports and presentation materials describing
    project s, methods, data, and results.

        Given project or task data , determines the most efficient
    approach to data collection and validation and s independently to obtain
    needed data from KP HealthConnect information systems (e.g. Clarity).

        Trains and coaches less-experienced healthcare data analysts on data
    retrieval techniques, programming practices, and statistical analysis and data
    visualization methods in the context of specific tasks.

        Specifies project quality assurance re and tests based on project
    characteristics and . Provides guidance to other healthcare data
    analysts regarding the implementation of such QA re and tests.

        Develops detailed measurement and reporting specifications based on project
    characteristics and  provide by project leadership. Provides
    guidance to other healthcare data analysts regarding the implementation of such
    specifications.

        Applies analytic knowledge,  and experience to perform project-related
    , complete specific project tasks, and create project deliverables.

    Gathers,
    researches, and analyzes data and facts from dispa sources and systems to
    identify and solve a wide range of problems within area of expertise. Prepares
    data in formats such as abstracts, graphs, or summaries.

    Experience
    with relational database concepts (SQL and HiveQL ) .
    Substantial experience with Microsoft Excel and knowledge of fundamental
    statistical concepts . Experience with Microsoft Power BI, Power Query,
    and DAX a plus.


Basic :
Experience

    Minimum five (5) related years of  experience with master's degree.

Education

    Master's degree OR a doctoral degree.
    Disciplinary training in advanced quantitative measurement methods (mathematics or statistics), ideally in the context of a quantitative social science or health services research.

License, Certification, Registration

    N/A


Additional :

    Demonstd effectiveness in written and verbal communication of technical material.
    Demonstd effectiveness ing as a member of a technical project team on complex .
    Experience with analysis of large administrative databases and computer-intensive statistical analysis (preferably using SAS), multivariate statistical methods, general research methodology.
    General knowledge or  experience in one (1) or more of the following areas: disease management, survey design, health status measurement, case-mix or health risk adjustment methods, research methods, actuarial methods, cost-benefit or cost-effectiveness analysis.
     in analytical methods including problem and model formulation, algorithm selection, and development of overall solution stgy.
    Creativity, critical thinking, and excellent problem-solving .
    Outstanding written and verbal communication and effective interpersonal .
    Ability to train and coach less-experienced team members on technical tasks.
    Considered functional expert.
    Must be able to  in a Labor/Management Partnership environment.


 :

    Minimum five (5) related years of  experience (i.e. in an analytical environment, preferably in healthcare) with master's degree.
    Knowledge of healthcare industry, especially healthcare analytics .
    Familiarity with Kaiser Permanente healthcare system .


    Analytic and critical thinking , writing , communication , and ability to  within a team.


    Proficiency in SQL, knowledge of healthcare industry, risk adjustment, and/or familiarity with KP healthcare system are a plus.


    Expertise with Microsoft Excel and knowledge of fundamental statistical concepts .


    Experience with relational database concepts (SQL ), Power BI, and Power Query a plus.


Primary : California,Oakland,1800 Harrison 1800 Harrison
HoursPerWeek : 40
Shift : Day
days : Mon, Tue, Wed, Thu, Fri
ingHoursStart : 9:00 AM
ingHoursEnd : 5:00 PM
 Schedule : Full-time
 Type : Standard
Employee Status : Regular
Employee Group/Union Affiliation : Salaried, Non-Union, Exempt
 Level : Individual Contributor
 Category : Accounting, Finance and Actuarial Services
Department : Risk Adjustment Data & Analytics (RADA)
Travel : Yes, 5 % of the Time
Kaiser Permanente is an  committed to a diverse and inclusive force. Applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy), age, sexual orientation, national origin, marital status, parental status, ancestry, disability, gender identity, veteran status, genetic information, other distinguishing characteristics of diversity and inclusion, or any other protected status.

External hires must pass a background check/drug screen. Qualified applicants with arrest and/or conviction records will be considered for employment in a manner consistent with federal and state laws, as well as applicable local ordinances, including but not limited to the San Francisco and Los Angeles Fair Chance Ordinances.
30+ 

	",Data Analyst
"Encounter Data Analyst
Prospect Medical Systems73 re - Orange, CA 92868
 Now
ly 

We are hospitals and affiliated medical groups, ing closely together for the benefit of every person who comes to us for care. We build comprehensive nets of quality healthcare services that are designed to offer our patients highly coordinated, personalized care and help them live healthier lives. Through collaboration, we strive to provide all of our patients and medical group members with the quality, affordable healthcare they need and deserve.

The Encounter Analyst is responsible for monitoring and oversight of the end-to-end encounter management flow. This  analyzes complex encounter inbound/outbound process issues, using data from internal and external sources to provide insight to decision-makers.
 /Duties

    Responsible for documenting, monitoring and analyzing the end-to-end encounter life cycle, inbound and outbound encounter process.
    Identifies and interprets encounter data, submission  and performance metrics per the regulatory and health plan guidelines.
    Researches and documents all encounter errors in established systems(s)/database(s) with appropriate statistical and trend analysis
    Performs root cause analysis of claims/encounters processing and submission issues; develops recommendations based on data and industry standards.
    Collabos across various departments to design and implement any business process and/or systems changes to meet encounter data processing and submission goals.
    Communicates with and provides clear, detailed, effective documentation to other departments within the organization on issues causing encounter pends/denials and potential solutions.
    Collabos with the Health Plans, clearinghouses and product Vendors on any encounter related issues
    Communicates regularly with management on issues discovered through research efforts
    Develops various encounter related reports (i.e. exception reports, performance reports, root cause analysis outcome reports, etc.) and distributes them to appropriate departments for error resolution, follow up and performance monitoring.
    Participates in the group to resolve encounter data and process issues.
    Owns and maintains the desktop procedures, flows and policy and procedure documents for encounters
    s to optimize business performance by recommending balanced approaches to system design and operational/process oriented solutions
    Review and research inquiries from regulatory bodies and/or the Health Plans related to submission data including the score cards from the Health Plans
    s with the Encounter/ EDI team for rolling out the best practices around encounter management
    Proactively monitors the performance of encounters metrics and recommend system/business process adjustments as applicable
    Other duties as assigned

Minimum Education: Bachelor?s Degree in a healthcare discipline, or combination of AA Degree plus 5 years of progressive managed care Encounter analysis experience, or seven (7) years of progressive managed care Encounter analysis experience .

Minimum Experience: Three to five (3-5) years ing in the health payer industry with proficient level understanding of general business practices and health plan operations (Membership, Provider, Claims, Customer Service, Care Management, etc.) . Three to five (3-5) years of experience as a Business Analyst or Operations Analyst (must have some experience writing business  and ing with technical teams to implement custom solutions) . Three to five (3-5) years of experience ing with ANSI x12 EDI standards for health care . Solid analytical  with ability to compile data from many sources and formulate plans and recommendations. Excellent data manipulation, communication, analytical and statistical  are . Must be comfortable with SQL, MS Excel, MS Access, MS Word, MS Visio and MS PowerPoint. Must have excellent time management and organizational  with the ability to handle multiple tasks in a timely and accu manner. Ability to  under pressure, adhere to deadlines and know when to escalate information/issues. Must have a high level of self-motivation and with little guidance/supervision. Must be able to  both independently as well as a team participant. Must have outstanding verbal and written communications  with the ability to communicate clearly to all levels of an organization. Must have strong interpersonal . Three (3) plus years health plan operations analysis or related  . Experience with multiple health plan operation functional areas. Knowledge of Medicare, Medicaid, TPA business  is a plus. Experience executing user acceptance testing and triaging test issues. Prior class room or on-the- training experience. Experience mapping business processes. Experience ing on at least one (1) enterprise-wide system implementation (from start to finish).

Req. Certification/Licensure: None.
Employee Value Pro
Prospect Medical Holdings, Inc., is guided by a diverse and highly experienced leadership core. This group maintains the vision that has made Prospect a needed difference-maker in the lives of so many patients today, and many executives contribute to our continued efforts. As a member of our highly effective team of professionals you will receive:

    Company 401K
    Medical, dental, vision insurance
    Paid time-off
    Life insurance

Prospect Medical Systems has a zero-tolerance policy regarding the use of drugs and alcohol. Our Company is committed to maintaining a productive, drug free place that keeps employees and patients safe from harm. For this reason, we require applicants to pass a screening for drug use as a condition of employment. This includes: alcohol, marijuana, cocaine, opiates and methamphetamines.

 Type: Full-time

Experience:

    837 Guidelines: 3 years ()
    Encounter: 3 years ()
    SQL: 3 years ()

Education:

    Bachelor's ()

30+ 
If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.

	",Data Analyst
"Systems Data Analyst
DISA Global Solutions59 re - Tustin, CA
 Now
DISA Global Solutions is a fast-paced, growing company focused on providing safety and compliance solutions, which include drug and alcohol testing, background screening, occupational health screening, transportation compliance, and safety and substance abuse training. We are headquartered in Houston, Texas with over 800 employees. DISA has specialized in promoting place health and safety for over 25 years and has a strong market presence in the energy and transportation sector. We are IT innovators and developed one of the most advanced platforms to support our clients? access to data. DISA is highly committed to quality and service excellence.

DISA employees are offered a competitive pay and benefits package and a fun and exciting place to . We have a collaborative and team-oriented culture with numerous opportunities of career advancement. We offer monthly appreciation events and strive to provide a learning environment where each employee is encouraged to participate in continuing education and training.

 Overview: The System Data Analyst interacts with users of AWSI business systems providing support for data needs and mapping out system enhancements based on user feedback. Other duties include data reporting, data importing, and exporting to meet business and customer needs.

A Day in the Life:

    You will support AWSI clients and users in the operation of AWSI business systems.
    You will analyze and document system data of existing or new business partner applications moving to AWSI applications.
    You will complete data reporting, data importing and exporting.
    You may perform quality assurance testing and validation of data.
    You will attend internal and external meetings regarding AWSI business applications, when needed.
    You will participate in -gathering and documentation processes for new system modules and enhancements when needed.
    You will perform pre-release and post-release testing of new software releases.
    You may assist, facilitate, and participate in Integration Testing and User Acceptance Testing (UAT) and Functionality Testing.

Our Ideal Candi:

    Has experience ing with programming team on systems implementations.
    Has experience with Microsoft SQL database and writing SQL database queries.
    Has strong computer  in the areas data analytics and data management.
    Has expertise in Microsoft Excel.
    Has experience in creating/Pulling Reports related to Sales, Operations, Product, etc.
    Has experience with  gathering and testing for new software implementations.
    Has the ability to communicate new concepts and train users in operating new software.
    Has exposure to software and hardware design principles.
    Has superior attention to detail and accuracy.
    Has the ability to think in a clear, logical and organized manner and  under minimal supervision.
    Has strong organizational and time management .
    Has a high school diploma.
    Has 3 years? experience in data analysis and reporting.
    Has a Bachelor?s Degree and 3 years? experience in in data analysis and reporting.

DISA is an equal opportunity at will employer and does not discriminate against any employee or applicant for employment because of age, race, religion, color, disability, sex, sexual orientation or national origin.
9 
If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.

	",Data Analyst
